x1,y1,dx1,dy1,x2,y2,dx2,dy2,ans
71.64,70.85,-0.28,0.0,81.7,70.85,-0.48,0.0,same
68.85,40.19,-0.55,0.0,67.67,40.19,-0.33,0.0,same
99.82,59.56,-0.31,0.0,94.35,37.02,0.39,0.0,ball_2
88.12,77.46,0.86,0.0,17.8,38.68,-0.02,0.0,ball_2
0.45,26.45,0.51,0.0,87.31,26.45,-0.66,0.0,same
98.3,17.54,0.54,0.0,38.93,32.06,-0.92,0.0,ball_1
24.48,86.71,-0.93,0.0,81.15,86.71,-0.03,0.0,same
16.44,37.87,-0.01,0.0,95.88,21.15,-0.22,0.0,ball_2
38.59,59.85,0.73,0.0,49.53,78.97,0.94,0.0,ball_1
40.29,69.49,0.8,0.0,13.71,40.72,-0.5,0.0,ball_2
49.53,54.14,0.34,0.0,80.85,46.09,-0.95,0.0,ball_2
84.16,80.19,0.21,0.0,36.05,95.47,0.02,0.0,ball_1
19.51,23.58,-0.68,0.0,70.18,23.58,-0.88,0.0,same
66.09,40.26,0.25,0.0,61.32,61.22,-0.95,0.0,ball_1
72.47,67.64,0.08,0.0,33.51,63.65,0.45,0.0,ball_2
53.13,82.8,-0.0,0.0,47.55,44.31,0.63,0.0,ball_2
41.56,36.1,0.21,0.0,18.75,60.9,0.06,0.0,ball_1
12.78,1.74,0.41,0.0,63.61,1.74,-0.62,0.0,same
72.94,60.37,0.06,0.0,21.23,70.14,-0.83,0.0,ball_1
39.57,46.79,-0.77,0.0,13.4,32.53,0.37,0.0,ball_2
50.33,24.08,0.52,0.0,13.7,82.69,-0.01,0.0,ball_1
24.89,34.85,0.67,0.0,37.27,1.34,1.0,0.0,ball_2
69.31,94.8,0.21,0.0,50.82,58.07,0.55,0.0,ball_2
62.23,45.04,-0.02,0.0,50.79,71.1,-0.11,0.0,ball_1
50.03,82.1,0.56,0.0,28.45,73.42,-0.03,0.0,ball_2
22.12,79.09,0.44,0.0,63.8,88.96,0.62,0.0,ball_1
82.48,85.92,0.86,0.0,96.78,7.99,-0.99,0.0,ball_2
13.8,31.03,-0.17,0.0,54.62,31.03,-0.53,0.0,same
60.87,40.9,0.92,0.0,97.67,86.85,0.42,0.0,ball_1
45.87,72.7,-0.56,0.0,16.26,9.93,-0.54,0.0,ball_2
66.91,84.39,-0.37,0.0,61.24,79.81,-0.23,0.0,ball_2
98.52,29.18,0.96,0.0,11.6,78.65,-0.33,0.0,ball_1
14.6,99.75,0.99,0.0,73.29,65.47,-0.74,0.0,ball_2
45.13,75.1,-0.12,0.0,9.77,93.01,0.39,0.0,ball_1
75.44,3.39,-0.12,0.0,65.03,86.72,0.19,0.0,ball_1
59.74,23.54,-0.02,0.0,31.21,23.54,-0.76,0.0,same
67.78,50.0,-0.97,0.0,89.79,67.84,0.7,0.0,ball_1
77.67,93.66,-0.22,0.0,82.13,93.66,-0.55,0.0,same
17.34,94.54,0.35,0.0,19.32,44.58,0.24,0.0,ball_2
29.97,7.58,-0.21,0.0,58.23,7.58,-0.95,0.0,same
91.7,78.16,0.91,0.0,17.27,63.45,-0.32,0.0,ball_2
93.46,69.93,-0.14,0.0,97.67,12.27,-0.62,0.0,ball_2
54.42,24.41,-0.49,0.0,85.67,16.89,-0.85,0.0,ball_2
83.31,59.47,-0.79,0.0,17.47,59.47,0.59,0.0,same
70.09,32.15,-0.57,0.0,58.33,32.15,0.14,0.0,same
75.86,50.68,0.62,0.0,46.02,14.04,-0.71,0.0,ball_2
45.78,60.46,-0.77,0.0,31.13,78.81,0.02,0.0,ball_1
74.95,63.0,-0.94,0.0,25.19,5.44,-0.68,0.0,ball_2
5.28,31.98,-0.3,0.0,60.84,90.51,-0.8,0.0,ball_1
8.73,12.84,-0.61,0.0,30.14,12.84,0.42,0.0,same
70.2,44.85,-0.02,0.0,8.58,41.16,0.68,0.0,ball_2
97.89,26.31,0.42,0.0,70.36,17.33,0.94,0.0,ball_2
79.06,15.67,0.86,0.0,44.48,15.67,-0.93,0.0,same
6.05,21.84,0.29,0.0,75.76,45.19,-0.6,0.0,ball_1
86.42,11.27,-0.19,0.0,83.19,99.19,0.78,0.0,ball_1
88.54,22.86,0.75,0.0,5.19,54.52,-0.44,0.0,ball_1
55.32,83.47,0.08,0.0,36.06,83.47,-0.36,0.0,same
48.93,48.68,-0.42,0.0,64.59,76.0,0.62,0.0,ball_1
26.7,34.91,-0.17,0.0,49.99,1.88,0.7,0.0,ball_2
70.28,63.53,0.53,0.0,43.71,6.23,-0.01,0.0,ball_2
39.9,61.2,0.82,0.0,98.32,5.38,-0.66,0.0,ball_2
0.53,81.81,-0.3,0.0,2.78,35.88,0.08,0.0,ball_2
19.18,86.44,0.37,0.0,25.99,86.44,-0.78,0.0,same
90.56,81.31,-0.28,0.0,5.97,8.12,0.51,0.0,ball_2
42.22,97.34,-1.0,0.0,85.54,30.94,0.54,0.0,ball_2
54.16,42.55,0.09,0.0,47.93,54.72,-0.15,0.0,ball_1
96.81,54.73,0.22,0.0,44.44,26.1,-0.94,0.0,ball_2
12.47,52.0,0.27,0.0,28.79,64.43,-0.3,0.0,ball_1
9.42,43.98,0.81,0.0,0.68,9.73,-0.78,0.0,ball_2
58.08,35.79,-0.97,0.0,73.92,99.82,0.41,0.0,ball_1
38.34,28.67,-0.73,0.0,54.76,47.1,-0.49,0.0,ball_1
40.11,85.51,-0.82,0.0,3.27,69.04,0.04,0.0,ball_2
40.55,87.9,0.02,0.0,87.14,18.46,0.29,0.0,ball_2
14.69,85.58,-0.14,0.0,64.19,40.61,0.04,0.0,ball_2
87.3,97.73,-0.5,0.0,61.49,81.99,-0.53,0.0,ball_2
23.09,12.58,0.61,0.0,18.88,12.58,0.07,0.0,same
10.53,96.12,0.27,0.0,81.99,65.32,-0.3,0.0,ball_2
50.57,99.11,-0.16,0.0,3.13,99.11,0.26,0.0,same
38.91,84.94,-0.04,0.0,14.46,84.94,0.69,0.0,same
92.33,60.27,0.35,0.0,82.94,45.21,-0.94,0.0,ball_2
63.8,25.79,-0.03,0.0,78.98,67.83,-0.89,0.0,ball_1
51.03,54.41,-0.97,0.0,43.35,54.41,-0.05,0.0,same
59.7,98.97,0.04,0.0,29.55,44.54,-0.08,0.0,ball_2
72.94,49.43,-0.48,0.0,56.04,49.3,0.2,0.0,ball_2
80.28,5.62,-0.83,0.0,60.05,5.62,-0.63,0.0,same
47.57,16.2,-0.3,0.0,0.04,69.36,-0.57,0.0,ball_1
44.87,27.81,0.68,0.0,90.55,27.81,-0.99,0.0,same
13.99,36.73,0.03,0.0,48.82,36.73,-0.79,0.0,same
17.34,48.68,0.79,0.0,40.94,85.45,0.69,0.0,ball_1
34.5,26.39,0.79,0.0,28.26,10.93,0.68,0.0,ball_2
65.1,9.94,0.02,0.0,18.67,7.83,0.29,0.0,ball_2
4.11,28.81,0.47,0.0,89.43,80.7,-0.71,0.0,ball_1
95.48,36.44,-0.12,0.0,15.05,78.91,-0.4,0.0,ball_1
3.12,76.45,-0.82,0.0,77.38,35.34,-0.19,0.0,ball_2
78.76,79.6,-0.44,0.0,61.36,45.13,-0.18,0.0,ball_2
80.55,78.88,-0.46,0.0,38.24,78.88,-0.18,0.0,same
69.52,48.24,0.01,0.0,16.86,98.66,-0.91,0.0,ball_1
68.28,15.64,0.59,0.0,77.37,15.64,-0.93,0.0,same
34.65,21.43,-0.89,0.0,27.76,21.43,0.32,0.0,same
39.61,33.61,-0.7,0.0,76.31,22.83,0.51,0.0,ball_2
70.54,40.61,-0.88,0.0,85.27,44.82,-0.7,0.0,ball_1
68.59,30.7,-0.91,0.0,87.84,78.26,0.01,0.0,ball_1
13.04,93.15,0.31,0.0,57.08,57.09,0.73,0.0,ball_2
12.19,67.35,0.54,0.0,86.77,60.7,-0.1,0.0,ball_2
81.41,21.79,-0.4,0.0,36.71,16.62,-0.59,0.0,ball_2
23.98,92.19,-0.81,0.0,53.18,79.93,-0.12,0.0,ball_2
65.99,39.41,-0.54,0.0,22.61,47.64,-0.45,0.0,ball_1
45.85,11.92,0.77,0.0,90.39,11.92,0.78,0.0,same
53.02,65.7,-0.75,0.0,51.29,65.7,0.05,0.0,same
0.83,8.48,-0.0,0.0,43.14,8.48,0.8,0.0,same
52.97,32.67,-0.38,0.0,0.68,32.67,-0.4,0.0,same
76.02,56.95,-0.53,0.0,13.61,38.94,-0.38,0.0,ball_2
62.84,36.9,-0.5,0.0,22.1,60.01,-0.23,0.0,ball_1
64.56,53.19,0.33,0.0,16.3,70.58,-0.55,0.0,ball_1
6.64,28.99,-0.76,0.0,84.4,48.16,0.48,0.0,ball_1
36.53,32.17,-0.68,0.0,91.98,72.04,-0.71,0.0,ball_1
44.46,95.9,0.2,0.0,26.26,95.9,-0.54,0.0,same
96.17,18.55,-0.84,0.0,48.46,85.48,-0.94,0.0,ball_1
59.51,81.4,0.24,0.0,59.5,13.2,-0.15,0.0,ball_2
98.6,79.23,-0.33,0.0,50.69,66.82,0.14,0.0,ball_2
17.93,25.11,0.41,0.0,77.03,75.84,0.33,0.0,ball_1
61.87,94.59,-0.06,0.0,30.27,27.35,0.74,0.0,ball_2
54.69,53.71,-0.32,0.0,94.6,56.01,-0.12,0.0,ball_1
8.47,16.57,-0.97,0.0,70.87,67.72,0.66,0.0,ball_1
28.98,10.57,-0.9,0.0,64.64,77.8,-0.13,0.0,ball_1
7.77,32.61,0.39,0.0,66.71,32.61,0.91,0.0,same
3.41,4.12,-0.46,0.0,16.75,67.51,0.94,0.0,ball_1
51.56,37.21,0.9,0.0,77.76,43.33,-0.52,0.0,ball_1
66.78,29.78,-0.86,0.0,89.16,29.91,-0.68,0.0,ball_1
1.43,92.89,-0.45,0.0,13.67,92.89,0.8,0.0,same
59.79,85.0,-0.86,0.0,95.22,65.87,0.85,0.0,ball_2
72.94,63.12,0.51,0.0,84.66,16.75,-0.01,0.0,ball_2
6.2,86.3,-0.01,0.0,96.56,8.62,-0.28,0.0,ball_2
55.7,20.36,-0.18,0.0,51.3,21.65,0.6,0.0,ball_1
59.1,7.44,0.12,0.0,70.74,22.15,0.39,0.0,ball_1
33.24,89.31,-0.37,0.0,7.39,53.99,0.44,0.0,ball_2
93.88,60.55,0.85,0.0,10.26,54.41,0.68,0.0,ball_2
66.6,64.4,0.45,0.0,23.34,90.54,0.67,0.0,ball_1
46.7,61.45,-0.25,0.0,46.44,53.67,0.44,0.0,ball_2
78.01,42.34,0.58,0.0,97.47,69.85,0.05,0.0,ball_1
8.3,35.9,0.67,0.0,38.3,8.74,-0.09,0.0,ball_2
23.59,33.91,0.79,0.0,53.53,81.75,0.41,0.0,ball_1
42.83,29.79,0.41,0.0,80.44,35.59,0.85,0.0,ball_1
7.09,12.22,-0.43,0.0,94.89,41.71,-0.87,0.0,ball_1
16.38,83.09,0.86,0.0,96.78,83.09,0.41,0.0,same
59.57,3.14,0.55,0.0,3.49,40.26,0.6,0.0,ball_1
93.1,39.93,-0.16,0.0,87.93,12.98,-0.97,0.0,ball_2
68.64,11.3,0.27,0.0,63.9,11.3,-0.38,0.0,same
39.53,31.95,-0.65,0.0,82.15,31.95,0.38,0.0,same
46.24,8.9,-0.19,0.0,17.01,24.82,-0.47,0.0,ball_1
90.48,72.83,0.8,0.0,14.46,25.7,0.65,0.0,ball_2
82.86,62.39,0.65,0.0,34.8,3.4,-0.62,0.0,ball_2
41.92,17.4,-0.48,0.0,28.66,0.89,0.43,0.0,ball_2
26.84,67.02,0.19,0.0,32.27,6.02,0.39,0.0,ball_2
60.27,48.12,-0.66,0.0,98.17,87.21,-0.81,0.0,ball_1
68.0,8.34,-0.26,0.0,8.7,8.34,0.08,0.0,same
23.99,34.08,0.78,0.0,90.73,34.08,0.99,0.0,same
24.68,97.57,-0.47,0.0,45.48,79.96,0.72,0.0,ball_2
87.63,47.29,-0.08,0.0,67.53,38.44,0.55,0.0,ball_2
72.74,34.55,-0.13,0.0,2.97,49.32,0.76,0.0,ball_1
51.67,57.41,-0.83,0.0,7.7,76.85,0.13,0.0,ball_1
44.5,75.09,-0.94,0.0,52.36,17.72,0.11,0.0,ball_2
41.34,80.3,0.6,0.0,77.51,67.84,0.0,0.0,ball_2
33.45,16.52,0.94,0.0,80.97,40.07,-0.31,0.0,ball_1
94.41,2.32,-0.49,0.0,43.87,2.32,-0.86,0.0,same
60.16,49.09,0.48,0.0,47.37,18.38,-0.78,0.0,ball_2
98.15,24.57,0.05,0.0,37.21,45.98,0.06,0.0,ball_1
65.08,67.97,-0.66,0.0,55.49,8.19,-0.05,0.0,ball_2
68.75,13.8,-0.59,0.0,95.61,89.88,-0.27,0.0,ball_1
43.82,46.66,0.27,0.0,5.19,73.2,-0.45,0.0,ball_1
3.11,15.56,0.49,0.0,39.98,81.35,-0.81,0.0,ball_1
84.16,50.56,-0.14,0.0,5.73,4.78,0.84,0.0,ball_2
33.2,51.04,0.58,0.0,60.06,3.39,-0.46,0.0,ball_2
27.78,32.54,-0.17,0.0,78.05,43.66,-0.94,0.0,ball_1
55.34,56.31,0.1,0.0,17.67,35.1,-0.2,0.0,ball_2
60.14,30.01,0.77,0.0,64.78,69.83,-0.76,0.0,ball_1
82.15,41.61,0.88,0.0,51.38,41.61,0.11,0.0,same
48.37,50.94,0.14,0.0,55.63,76.92,0.27,0.0,ball_1
82.36,87.25,-0.97,0.0,78.98,76.36,-0.13,0.0,ball_2
20.82,14.54,-0.74,0.0,89.97,76.4,-0.67,0.0,ball_1
49.93,4.42,-0.96,0.0,4.17,30.64,-0.37,0.0,ball_1
37.0,85.92,0.04,0.0,22.0,31.39,-0.86,0.0,ball_2
80.86,20.37,0.55,0.0,17.04,29.5,-0.24,0.0,ball_1
58.11,85.94,-0.89,0.0,93.16,87.62,-0.44,0.0,ball_1
66.9,98.89,-0.48,0.0,50.06,74.31,-0.73,0.0,ball_2
27.51,27.45,-0.44,0.0,17.19,2.44,-0.45,0.0,ball_2
91.9,9.08,0.4,0.0,0.54,9.08,0.2,0.0,same
22.99,17.99,0.58,0.0,6.1,0.54,0.42,0.0,ball_2
31.66,20.14,-0.47,0.0,44.69,61.6,0.83,0.0,ball_1
58.51,51.48,0.76,0.0,96.42,0.8,-0.68,0.0,ball_2
0.63,35.31,0.55,0.0,60.72,35.31,0.67,0.0,same
63.44,40.15,0.05,0.0,81.86,40.15,-0.09,0.0,same
30.63,88.12,-0.75,0.0,14.01,6.78,0.64,0.0,ball_2
43.38,46.38,-0.91,0.0,95.93,30.77,-1.0,0.0,ball_2
78.41,29.47,-0.61,0.0,7.44,29.47,0.0,0.0,same
96.37,46.63,0.48,0.0,51.78,46.63,-0.51,0.0,same
97.34,10.15,-0.08,0.0,21.61,29.66,0.48,0.0,ball_1
45.78,55.28,-0.68,0.0,16.09,19.11,-0.64,0.0,ball_2
50.68,39.39,0.58,0.0,18.92,57.74,0.9,0.0,ball_1
42.36,83.62,-0.36,0.0,3.65,8.53,0.97,0.0,ball_2
73.24,17.77,0.56,0.0,69.9,4.62,0.21,0.0,ball_2
35.81,96.4,0.1,0.0,80.42,96.4,-0.54,0.0,same
62.91,6.28,-0.07,0.0,10.08,29.06,0.93,0.0,ball_1
38.58,2.5,-0.67,0.0,12.34,63.79,-0.39,0.0,ball_1
48.41,56.4,-0.69,0.0,26.01,56.4,0.25,0.0,same
79.19,50.28,0.73,0.0,96.92,50.28,-0.49,0.0,same
51.34,31.78,-0.66,0.0,98.87,79.58,0.12,0.0,ball_1
50.31,50.03,-0.24,0.0,78.57,39.86,-0.64,0.0,ball_2
49.38,61.09,0.07,0.0,36.41,71.39,0.9,0.0,ball_1
86.12,32.47,-0.46,0.0,2.56,95.53,0.32,0.0,ball_1
92.47,29.55,-0.29,0.0,75.18,92.72,0.97,0.0,ball_1
44.27,79.42,0.04,0.0,29.99,63.95,0.51,0.0,ball_2
54.16,91.0,0.17,0.0,26.37,91.0,0.86,0.0,same
52.29,85.38,0.28,0.0,4.62,90.35,0.68,0.0,ball_1
65.73,15.44,0.44,0.0,8.53,15.44,-0.6,0.0,same
95.06,97.97,-0.47,0.0,91.76,94.7,-0.18,0.0,ball_2
66.11,29.22,-0.21,0.0,48.28,29.22,0.11,0.0,same
35.14,67.64,0.72,0.0,56.7,55.11,1.0,0.0,ball_2
77.22,57.93,0.87,0.0,53.15,50.28,-0.74,0.0,ball_2
25.43,86.63,-0.25,0.0,6.93,76.89,0.81,0.0,ball_2
65.47,43.52,-0.09,0.0,30.56,43.52,-0.76,0.0,same
69.56,69.64,0.36,0.0,98.1,69.64,0.85,0.0,same
36.36,38.84,0.1,0.0,56.3,38.84,-0.44,0.0,same
31.99,58.24,-0.43,0.0,81.27,96.12,-0.61,0.0,ball_1
10.38,45.75,0.26,0.0,25.2,34.4,-0.0,0.0,ball_2
36.88,86.9,-0.06,0.0,78.49,97.66,0.69,0.0,ball_1
80.52,50.13,-0.68,0.0,75.54,72.19,-0.27,0.0,ball_1
43.98,10.0,-0.49,0.0,48.88,4.62,-0.52,0.0,ball_2
88.48,61.59,-0.3,0.0,57.21,48.53,0.33,0.0,ball_2
17.38,35.7,-0.27,0.0,46.36,69.24,-0.61,0.0,ball_1
71.98,52.81,-0.93,0.0,86.68,28.89,0.97,0.0,ball_2
84.95,24.33,0.16,0.0,88.06,56.72,0.17,0.0,ball_1
89.77,10.44,-0.26,0.0,26.41,21.54,-0.72,0.0,ball_1
15.99,85.05,-0.32,0.0,18.37,85.05,-0.32,0.0,same
8.21,68.71,0.37,0.0,32.14,14.94,-0.7,0.0,ball_2
81.58,1.68,-0.31,0.0,80.44,87.93,0.27,0.0,ball_1
57.43,97.24,-0.59,0.0,90.04,99.91,-0.32,0.0,ball_1
69.79,99.29,0.86,0.0,39.19,99.29,0.64,0.0,same
61.08,11.67,-0.9,0.0,20.47,11.86,0.78,0.0,ball_1
54.0,63.28,0.31,0.0,20.56,61.58,0.47,0.0,ball_2
80.36,25.18,0.7,0.0,68.1,25.18,-0.87,0.0,same
58.78,90.39,0.98,0.0,16.98,72.7,-0.28,0.0,ball_2
18.82,80.45,0.14,0.0,65.02,68.73,0.16,0.0,ball_2
79.93,3.14,-0.17,0.0,35.92,3.14,-0.27,0.0,same
12.04,7.03,-0.52,0.0,47.41,7.55,0.28,0.0,ball_1
47.31,74.29,-0.54,0.0,43.16,81.15,0.77,0.0,ball_1
56.58,19.73,-0.16,0.0,13.4,97.41,-0.62,0.0,ball_1
25.49,55.01,0.86,0.0,50.26,78.35,-0.46,0.0,ball_1
31.27,78.72,-0.71,0.0,71.08,41.88,-0.7,0.0,ball_2
45.11,74.06,-0.16,0.0,34.92,16.92,0.38,0.0,ball_2
43.07,58.95,0.11,0.0,20.4,58.95,0.61,0.0,same
25.05,15.71,0.18,0.0,77.14,18.02,-0.39,0.0,ball_1
20.43,48.72,-0.21,0.0,3.29,43.02,0.38,0.0,ball_2
15.88,57.36,-0.5,0.0,24.66,76.17,0.91,0.0,ball_1
99.96,58.12,0.33,0.0,79.58,58.12,0.8,0.0,same
41.73,53.31,-0.41,0.0,86.08,53.31,-0.32,0.0,same
60.51,22.86,0.03,0.0,48.74,71.31,0.16,0.0,ball_1
44.03,80.88,-0.19,0.0,13.75,80.88,0.53,0.0,same
25.17,12.38,0.32,0.0,2.4,12.38,-0.0,0.0,same
94.59,9.13,0.79,0.0,91.98,93.03,0.33,0.0,ball_1
87.75,82.03,-0.62,0.0,11.04,78.66,0.34,0.0,ball_2
15.18,14.07,-0.84,0.0,97.21,8.31,-0.09,0.0,ball_2
88.44,100.0,-0.89,0.0,56.67,100.0,0.08,0.0,same
78.47,14.46,-0.66,0.0,42.92,69.19,-0.75,0.0,ball_1
49.67,72.52,-0.63,0.0,7.66,42.23,0.17,0.0,ball_2
